ID,Last Name,First Name ,RIF?,Legacy,Group #,SF,LC,PS,I,PIG 1,PIG 2,Total,Notes (Rifs # and interests)
,Abbott,Addie,Yes,,1,2,1,1,2,,1,7,
,Abel,Allie,Yes,,2,,1,2,2,,1,6,
,Acker,Sydney,,KAT,3,,,0,,,0,0,
,Adams,Autumn,Yes,,4,,1,1,1,,2,5,
,Adams,Mackenzie,,,5,,,0,2,,0,2,
,Affolter,Alli,Yes,,6,,1,1,2,,2,6,
,Agnew,Avery,Yes,,7,,1,1,2,,1,5,
,Alexander,Claire,Yes,,8,,1,1,2,,0,4,
,Alexander,Grace,Yes,,9,,,2,,,2,4,
,Alexander,Hayley,Yes,,10,,,1,1,,1,3,
,Allan,Kailey,Yes,,11,,1,0,1,,1,3,
,Allbert,Jackie,Yes,,12,,0,1,2,,0,3,
,Allbritten,Adair,Yes,,1,2,1,1,1,,2,7,
,Allbritton,Elizabeth,Yes,,2,,1,1,1,,1,4,
,Allen,Hannah,Yes,,3,,1,1,1,,0,3,
,Allen,Raksha,,"KAT(3), XO",4,,,,,,,0,
,Almany,Caroline,Yes,,5,,,1,2,,2,5,
,Alonso,Katherine,Yes,,6,,,1,1,,1,3,
,Alston,Sydney,,Gphi,7,,,0,,,0,0,
,Amann,Cindy,Yes,,8,,1,1,2,,0,4,
,Ames,Sam,,AXO,9,,,0,,,0,0,
,Anderson,Courtney,Yes,,10,,1,1,2,,0,4,
,Anderson,Lauren,,,11,2,,0,,,0,2,
,Anderson,Maddie,,,12,,,1,1,,0,2,
,Anderson,Savannah,,"DDD, KKG, KAT",1,,,0,,,0,0,
,Andrews,Maggie,,"Yes, XO",2,,,0,,,1,1,
,Anthony,Kelsey L.,,,3,,,1,2,,0,3,
,Apple,Stephanie,,"DG, KAT, DZ",4,,,0,,,0,0,
,Armistead,Paige,,KD,5,,,0,,,1,1,
,Armitage,Kelley,,,6,,,0,2,,1,3,
,Arnold,Aliya,Yes,,7,2,2,1,1,,0,6,
,Arnold,Megan,,OM,8,,,1,,,0,1,
,Arthur,Maddie,,,9,,,1,,,1,2,
,Ashman,Kellie,,,10,2,,1,,,0,3,
,Assel,Megan,,OM,11,,,1,,,0,1,
,Atkins,Grace,Yes,,12,,2,1,1,,0,4,
,Austin,Greer,Yes,,1,,1,2,,,1,4,
,Autry,Kailey,Yes,,2,,,1,2,,0,3,
,Avery,Marlee Frances,,XO(2),3,,,0,,,1,1,
,Bacon,Graham,Yes,,4,,,1,2,,1,4,
,Bacot,Kailey,Yes,,5,,,2,,,1,3,
,Baggett,Maggie,,"Yes, MS BETA",6,,,1,,,0,1,
,Bagwell,Gracyn,Yes,,7,,1,1,2,,0,4,
,Baich,Kaileigh,Yes,,8,,,1,2,,0,3,
,Bailey,Emma,Yes,,9,,1,1,2,,0,4,
,Bailey,Maggie,,"Yes, MS BETA",10,,,0,,,1,1,
,Bainborough,Katie,,,11,,,2,1,,0,3,
,Baird,Marisa,,XO(2) ,12,,,1,,,0,1,
,Baker,Allie,Yes,,1,,1,2,2,,1,6,
,Baker,Cameron,Yes,,2,,1,1,2,,1,5,
,Baker,Jordan,Yes,,3,,,1,2,,0,3,
,Baker,Maari,,,4,,,0,,,2,2,
,Baker,Marie,,"XO(2), AOP",5,,,1,,,0,1,
,Baldwin,Elizabeth,Yes,,6,,1,1,2,,0,4,
,Baldwin,Jacki,Yes,,7,,,1,,,2,3,
,Ball,Becca M.,Yes,,8,,2,1,2,,0,5,
,Ball,Elizabeth,Yes,,9,,1,1,2,,0,4,
,Barbee,Jaci,Yes,,10,,,1,2,,0,3,
,Barber,Hannah,Yes,,11,,,1,2,,0,3,
,Barden,Lynsey,,,12,,,1,,,1,2,
,Barge,Hannah,Yes,,1,,,1,2,,0,3,
,Barker,Allie,Yes,,2,,1,2,2,,1,6,
,Barker,Becca E.,Yes,,3,,1,1,2,,1,5,
,Barksdale,Allie,Yes,,4,2,1,1,2,,0,6,
,Barnes,Emma,Yes,,5,,1,1,1,,1,4,
,Barnes,Madison,,,6,,,1,1,,0,2,
,Barnett,Briley Kate,Yes,,7,,,2,2,,1,5,
,Barnett,Jessica,Yes,,8,,,1,2,,0,3,
,Barnette,Jane,Yes,,9,,,2,,,1,3,
,Barnette,Reilly,,KD,10,,,0,,,1,1,
,Baron,Carley,Yes,,11,,1,1,2,,1,5,
,Barr,Lyndsey,,,12,,,1,1,,0,2,
,Barry,Avery,Yes,,1,,1,0,2,,2,5,
,Barry,Carol,Yes,,2,,1,1,2,,1,5,
,Barry,Gabby,Yes,,3,,,2,1,,1,4,
,Bartley,Courtney,Yes,,4,,1,1,2,,0,4,
,Barton,Olivia,,"KD(2), ADP",5,,,0,,,1,1,
,Bateman,Courtney,Yes,,6,,1,1,2,,0,4,
,Bates,Olivia,,"KD(2), DDD, OM",7,,,1,,,0,1,
,Bauer,Bridgette,Yes,,8,,,1,2,,2,5,
,Bauknight,Kristina,,,9,,,1,,,1,2,
,Baumgardner,Olivia,,"KD(2), XO ",10,,,1,,,0,1,
,Bayles,Macy,,,11,,,0,2,,0,2,
,Beadle,Abby,Yes,,12,2,2,2,2,,2,10,
,Bean,Abigail,Yes,,1,,1,2,2,,2,7,
,Bear,Emma,Yes,,2,,1,2,1,,0,4,
,Beavers,Ainsley,Yes,,3,,1,2,2,,2,7,
,Bebee,Allie,Yes,,4,,1,1,2,,2,6,
,Bebee,Lillie,,,5,,,1,1,,0,2,
,Bell,Grace,Yes,,6,,1,1,2,,0,4,
,Bell,Megan,,OM,7,,,1,,,0,1,
,Bell,Rachel,,"KAT, DDD",8,,,,,,,0,
,Benefield,Meg H.,,OM,9,,,1,,,0,1,
,Bennett,DeAnna,Yes,,10,,1,1,2,,0,4,
,Bennett,Elizabeth,Yes,,11,,,1,2,,1,4,
,Bennett,Madeline,,"Yes(2),MS BETA(2), XO",12,,,1,,,0,1,
,Bentley,Katharine A.,Yes ,,1,,,1,,,2,3,
,Berry,Madison,,,2,,,1,1,,0,2,
,Berthold,Aimee,Yes,,3,1,,2,2,,2,7,
,Bethea,Lydia,,,4,,,1,,,1,2,
,Betts,Mikayla,,XO,5,,,1,,,0,1,
,Biedermann,Katelyn,Yes ,,6,,1,1,1,,0,3,
,Biele,Madison,,,7,,,1,,,1,2,
,Bielski,Christina,Yes,,8,,1,1,2,,0,4,
,Biggs,Abby,Yes,,9,2,1,3,2,,2,10,
,Biggs,Katie,Yes,,10,,,0,2,,1,3,
,Bittner,Perry,,"KD, OM",11,,,1,,,0,1,
,Black,Allie,Yes,,12,,2,1,2,,1,6,
,Black,Mari,,"XO(2), KAT",1,,,0,,,1,1,
,Blair,Maddie,,,2,,,1,1,,0,2,
,Blanchard,Kellie,,,3,,,2,1,,0,3,
,Blitzer,Lili,,,4,,,1,,,1,2,
,Block,Meg,,OM,5,,,1,,,0,1,
,Bloxsom,Grace,Yes,,6,,1,1,1,,1,4,
